layer,feature,label,f1_score,accuracy,precision,recall,cluster
16,189,Comparative and superlative modifiers in financial and market contexts,0.323,0.354,0.833,0.2,3
16,187,"Financial and stock market-related content, including company news and analysis.",0.807,0.677,0.759,0.863,10
16,136,Capitalized names and brand terms,0.703,0.585,0.8,0.627,0
16,213,End of a sentence or key point in financial or stock-related text.,0.4,0.52,0.4,0.4,11
16,27,Ongoing business and technology processes and actions,0.768,0.646,0.776,0.76,9
16,182,"Financial and economic policy discussions, including rates, regulations, and market impacts.",0.733,0.631,0.825,0.66,3
16,385,"References to financial analysts, publications, and specific articles",0.592,0.554,1.0,0.42,6
16,30,Focus on sentence structure and formatting elements,0.0,0.231,0.0,0.0,2
16,117,Publication and distribution of financial news and reports,0.613,0.554,0.92,0.46,4
16,367,Financial and economic reporting punctuation and terms,0.774,0.677,0.837,0.72,5
16,390,Financial and business-related place names and locations,0.813,0.738,0.902,0.74,7
16,32,"Business and financial terms, including corporate actions and transactions.",0.808,0.692,0.778,0.84,7
16,294,Punctuation and transition words in financial/news articles,0.361,0.22,1.0,0.22,7
16,227,Business and finance entities or sectors,0.891,0.815,0.817,0.98,10
16,46,"Numerical values in financial contexts, often stock prices or growth rates.",0.667,0.554,0.784,0.58,5
16,218,"Sentence termination, marking the end of a statement or thought.",0.308,0.64,0.667,0.2,3
16,102,"Names, specific terms, and punctuation in financial contexts",0.779,0.677,0.822,0.74,4
16,262,Financial article structure and key terms,0.771,0.662,0.804,0.74,0
16,85,"Dates, financial figures, and formal document structures",0.5,0.354,0.636,0.412,4
16,245,"Financial and business terms, emphasizing growth, revenue, and market performance.",0.804,0.692,0.788,0.82,0
16,40,Financial and business performance metrics and products,0.854,0.769,0.83,0.88,7
16,361,Dynamic business and financial activities and movements,0.807,0.677,0.759,0.863,4
16,47,Financial and market-related content markers,0.83,0.723,0.786,0.88,4
16,258,Modal and auxiliary verbs indicating potential or certainty,0.148,0.292,1.0,0.08,5
16,295,Dates and event times in financial and news contexts,0.448,0.431,0.882,0.3,2
16,140,"Financial and business terms, focusing on market dynamics and company performance.",0.781,0.646,0.745,0.82,3
16,254,End of sentences in financial and stock-related contexts,0.48,0.48,0.4,0.6,3
16,358,Financial metrics and growth percentages in stock and economic contexts,0.532,0.431,0.724,0.42,6
16,37,End of sentence in financial or stock-related statements.,0.381,0.48,0.364,0.4,10
16,156,Financial metrics and business performance indicators,0.722,0.585,0.745,0.7,11
16,145,"Temporal references in financial contexts, often specific dates or periods.",0.716,0.646,0.967,0.569,2
16,374,Connects strategic business actions or outcomes,0.667,0.569,0.824,0.56,6
16,31,"Economic and market terms, focusing on financial performance and regulatory changes.",0.82,0.723,0.82,0.82,6
16,161,Financial and tech sector abbreviations and partial words,0.733,0.585,0.725,0.74,9
16,274,"Financial news, stock recommendations, and publication details",0.82,0.723,0.82,0.82,10
16,365,Transitional phrases and prepositions indicating movement or change in context.,0.138,0.231,0.5,0.08,2
16,212,Contextual financial and business-related phrases and terms,0.844,0.738,0.78,0.92,3
16,159,"Financial and economic indicators, including interest rates and market conditions.",0.705,0.6,0.816,0.62,2
16,377,Investor sentiment and market reactions to financial performance,0.493,0.462,0.895,0.34,10
16,121,"Continuation or progression of actions, processes, or narratives",0.521,0.462,0.826,0.38,2
16,373,Financial and investment-related terms and company names,0.836,0.723,0.767,0.92,10
16,256,"Subject or entity in financial/business context, often a company or its performance.",0.76,0.631,0.76,0.76,2
16,56,End of sentence marker,0.308,0.64,1.0,0.182,6
16,395,Transitional and connecting words linking ideas or providing context.,0.323,0.354,0.909,0.196,0
16,73,"Financial and business terms, specific sectors, and products",0.818,0.692,0.763,0.882,6
16,86,Financial performance and market expectations,0.682,0.585,0.829,0.58,5
16,230,Contrast or continuation in financial narratives,0.729,0.646,0.886,0.62,0
16,113,"Business and financial contexts, involving companies, products, and performance metrics.",0.83,0.723,0.786,0.88,2
16,313,"Financial and technical terms related to dividends, growth, and product specifications.",0.763,0.646,0.787,0.74,6
16,52,Numbers in financial or temporal contexts,0.812,0.708,0.82,0.804,5
16,153,"Financial and market-related terms, including company names and stock symbols",0.848,0.769,0.857,0.84,10
16,63,Geographic locations and market segments,0.413,0.431,1.0,0.26,4
16,345,"Financial and market-related terms, focusing on specific sectors and concepts.",0.781,0.646,0.745,0.82,9
16,306,Names and abbreviations of financial figures and companies,0.848,0.769,0.857,0.84,11
16,378,Financial and market-related terms and trends,0.87,0.785,0.825,0.922,4
16,389,"Focus on punctuation and short word segments, often denoting text boundaries.",0.689,0.569,0.775,0.62,2
16,332,Beginning and significant parts of company names and financial terms,0.863,0.785,0.846,0.88,8
16,336,Structure and flow of financial and market-related content,0.667,0.523,0.721,0.62,4
16,61,Economic indicators and financial performance metrics,0.635,0.523,0.771,0.54,6
16,376,Company names and stock-related financial metrics,0.698,0.6,0.833,0.6,9
16,324,Transitional and connecting words linking ideas or providing context,0.455,0.446,0.938,0.3,7
16,110,End of sentences in financial and stock-related contexts.,0.56,0.56,0.5,0.636,9
16,79,Actions and changes in financial and market contexts,0.708,0.569,0.756,0.667,0
16,133,"Financial and stock-related content, including company names and financial terms.",0.936,0.88,1.0,0.88,9
16,200,"Business and financial actions, entities, and key actors",0.833,0.723,0.776,0.9,9
16,229,Punctuation and sentence delimiters,0.267,0.323,0.889,0.157,5
16,109,End of sentences in financial and stock-related content.,0.385,0.36,0.333,0.455,8
16,112,"Financial terms starting with \""h\"" in market contexts",0.4,0.4,0.867,0.26,4
16,391,"Movement, change, or progression in various contexts",0.706,0.615,0.882,0.588,5
16,349,"Punctuation marks, especially periods, in financial or technical contexts",0.772,0.646,0.765,0.78,0
16,150,Punctuation and short words in financial contexts,0.738,0.585,0.731,0.745,8
16,316,Punctuation and short words as delimiters in financial text,0.784,0.677,0.809,0.76,3
16,184,"Financial and economic terms, focusing on market activities and metrics",0.812,0.708,0.82,0.804,0
16,35,News article titles and financial market-related content,0.769,0.631,0.741,0.8,9
16,330,Common words and punctuation in financial and technical contexts,0.777,0.646,0.755,0.8,10
16,81,"Financial and stock market terms, including company names and stock actions",0.819,0.708,0.782,0.86,6
16,284,Numerical time periods or counts in financial contexts,0.7,0.631,0.933,0.56,9
16,366,Prepositions and articles in financial and technical relationships,0.585,0.477,0.75,0.48,10
16,350,"Titles, names, and brand identifiers in news articles and financial contexts.",0.78,0.662,0.78,0.78,10
16,114,Financial figures and percentages,0.709,0.646,0.966,0.56,5
16,217,Specific months and quarters in financial and economic contexts,0.438,0.446,1.0,0.28,10
16,312,"Financial and business terms, focusing on stocks and technology.",0.827,0.723,0.796,0.86,10
16,321,"Corporate entities, financial terms, and technology sector mentions",0.925,0.86,1.0,0.86,9
16,317,End of sentences in financial and stock-related contexts.,0.476,0.56,0.455,0.5,7
16,88,Sentence terminators and concluding elements,0.349,0.369,0.917,0.216,2
16,11,Changes in financial metrics and business performance,0.641,0.569,0.893,0.5,7
16,283,Financial metrics and performance indicators,0.615,0.538,0.857,0.48,3
16,292,Connects entities or items in financial and business contexts,0.707,0.554,0.714,0.7,8
16,22,"Business, technology, and finance-related word segments",0.86,0.754,0.766,0.98,0
16,25,"Financial and news context, stock recommendations, market updates, company performance",0.784,0.677,0.826,0.745,7
16,83,"Financial transactions, deals, and market activities",0.752,0.615,0.745,0.76,9
16,57,Transitional phrases and financial terms in business contexts,0.76,0.631,0.76,0.76,7
16,302,Sentence boundary detection or punctuation processing,0.0,0.231,0.0,0.0,9
16,18,Punctuation marks signaling sentence endings in financial/news contexts,0.471,0.446,0.889,0.32,2
16,33,Comparative financial performance and market dynamics,0.595,0.538,0.957,0.431,8
16,388,Transitions or points in time marking significant events or changes,0.5,0.477,0.944,0.34,3
16,241,"Years in the 2020s, often in financial or market contexts",0.361,0.4,1.0,0.22,0
16,326,"Financial and business terms, with emphasis on specific sectors and companies",0.822,0.708,0.772,0.88,0
16,371,"Financial and business terms, focusing on stocks and market conditions.",0.807,0.677,0.746,0.88,9
16,287,Financial metrics and large monetary values,0.723,0.646,0.909,0.6,7
16,66,News article titles and financial market updates,0.742,0.646,0.868,0.647,1
16,352,Economic and market-related events and conditions,0.824,0.723,0.808,0.84,7
16,300,"Economic and technological trends in production, energy, and market demand.",0.568,0.508,0.875,0.42,10
16,67,"Financial and business-related terms, including stock performance and company milestones.",0.781,0.646,0.745,0.82,10
16,396,Indicators of change or movement in financial contexts,0.557,0.462,0.759,0.44,3
16,278,"Transactions, sales, and financial activities in real estate and healthcare sectors.",0.361,0.4,1.0,0.22,11
16,277,"Financial and economic terms, including numbers and currency",0.758,0.646,0.818,0.706,5
16,126,Financial quarters or specific time periods in business contexts,0.276,0.354,1.0,0.16,6
16,291,"Refers to specific, unique entities or concepts",0.575,0.431,0.694,0.49,10
16,99,"Word fragments and punctuation, emphasizing boundaries and structure.",0.774,0.631,0.732,0.82,7
16,342,Financial and business performance metrics and concerns,0.688,0.554,0.762,0.627,10
16,304,"Financial context elements like portfolio, stock positions, and market periods",0.716,0.585,0.756,0.68,10
16,320,Innovation and market performance in tech companies,0.567,0.527,0.85,0.425,3
16,243,Financial and business growth indicators and market trends,0.695,0.554,0.733,0.66,5
16,286,"Financial and business-related terms, trends, and metrics",0.836,0.723,0.767,0.92,0
16,225,"Financial and business context, market trends, investor sentiment, company performance",0.847,0.738,0.77,0.94,2
16,328,Geopolitical and financial entities and terms,0.818,0.692,0.75,0.9,10
16,89,"Temporal and financial events, company announcements, market activities",0.8,0.677,0.764,0.84,2
16,223,"Emphasis on frequency, degree, and extent in business and tech contexts",0.507,0.462,0.9,0.353,7
16,348,"Financial terms and market conditions, emphasizing significant economic indicators and performance metrics.",0.716,0.585,0.756,0.68,5
16,211,Punctuation and key words introducing or concluding financial statements,0.729,0.646,0.886,0.62,4
16,382,Punctuation and short functional words structuring phrases,0.207,0.292,0.857,0.118,5
16,151,"Names, roles, and industry terms in beauty and finance sectors",0.674,0.569,0.806,0.58,5
16,341,Financial market events and transactions,0.843,0.754,0.827,0.86,10
16,163,"Financial transactions, values, and market activities",0.808,0.708,0.816,0.8,3
16,340,Titles and structural elements of articles and webinars,0.431,0.431,0.933,0.28,5
16,177,"Financial and business terms, focusing on companies, stocks, and market performance.",0.851,0.769,0.843,0.86,9
16,247,Sentence boundaries and structural transitions,0.145,0.277,0.8,0.08,9
16,50,Ownership and association through possessive forms and pronouns,0.323,0.354,0.833,0.2,5
16,360,Transitions and temporal relationships in text,0.438,0.28,1.0,0.28,11
16,238,Prepositions and articles in financial and corporate contexts,0.769,0.677,0.854,0.7,0
16,269,"Financial and business terms, including numbers and industry jargon",0.873,0.785,0.8,0.96,2
16,285,Specific years in financial or market contexts,0.462,0.462,1.0,0.3,7
16,319,Common financial and economic reporting terms and phrases,0.842,0.769,0.889,0.8,10
16,21,Time periods and durations in financial and market contexts,0.707,0.631,0.906,0.58,3
16,125,Key words signaling story continuation or publication,0.635,0.523,0.794,0.529,0
16,219,"End of sentences, marked by periods.",0.143,0.52,0.333,0.091,5
16,208,Financial metrics and performance indicators in business and stock market contexts,0.792,0.692,0.826,0.76,3
16,101,Financial and corporate entity names and stock-related terms,0.788,0.662,0.759,0.82,9
16,8,Actions or strategies in competitive or financial contexts,0.788,0.677,0.796,0.78,3
16,51,"Financial and economic concepts, including growth, revenue, and market conditions.",0.8,0.677,0.764,0.84,3
16,43,"Temporal and financial context, specific time periods and economic metrics",0.694,0.538,0.708,0.68,10
16,311,"Financial and market-related statements, including economic indicators and company performance.",0.822,0.708,0.786,0.863,11
16,393,Punctuation and common words in structured text,0.233,0.292,0.778,0.137,0
16,363,End of sentences in financial and stock-related contexts,0.609,0.64,0.583,0.636,10
16,351,Names and terms related to AI and tech companies,0.479,0.431,0.81,0.34,3
16,188,"Expressions of belief, perception, and identification in financial and business contexts",0.59,0.508,0.821,0.46,9
16,221,Temporal and financial trends over extended periods,0.587,0.523,0.88,0.44,9
16,191,"Financial market events, economic indicators, and geopolitical risks",0.721,0.631,0.861,0.62,2
16,15,End of sentences in financial and stock market updates.,0.353,0.56,0.5,0.273,2
16,281,"Geographic and economic entities (e.g., US, Europe, India)",0.328,0.369,1.0,0.196,1
16,64,"Actions, intentions, and strategic moves in business and politics",0.635,0.523,0.771,0.54,3
16,339,"Connects related financial or business ideas, indicating continuation or addition.",0.645,0.492,0.698,0.6,2
16,346,Financial metrics and projections in business contexts,0.727,0.631,0.842,0.64,7
16,249,Temporal indicators and sequences of events,0.545,0.462,0.778,0.42,5
16,231,Financial metrics and company performance indicators,0.779,0.677,0.841,0.725,10
16,207,Financial performance and growth metrics in business contexts,0.719,0.615,0.821,0.64,11
16,380,Financial events and market activities,0.769,0.631,0.741,0.8,4
16,134,"Stock market and financial terms, often related to specific companies or indices.",0.785,0.646,0.737,0.84,10
16,307,"Financial and business-related terms, focusing on investments, technology, and economic growth.",0.849,0.754,0.818,0.882,9
16,171,Financial metrics and growth indicators in company performance,0.528,0.477,0.864,0.38,0
16,337,Punctuation for separating clauses or items in financial contexts,0.241,0.323,0.875,0.14,0
16,179,Uncertainty and speculative transitions in financial contexts,0.472,0.415,0.773,0.34,2
16,261,Introduces or transitions to specific details or entities,0.575,0.477,0.767,0.46,9
16,240,Financial acronyms and stock symbols,0.563,0.523,0.952,0.4,0
16,392,Economic and financial terms related to business performance and market activities,0.796,0.662,0.741,0.86,9
16,260,Temporal or conditional specificity in financial contexts,0.659,0.523,0.75,0.588,4
16,65,Introduces specific information or conditions in clauses,0.271,0.338,0.889,0.16,4
16,178,"Financial and business terms related to tech and AI investments, expansions, and partnerships.",0.624,0.462,0.674,0.58,5
16,148,"Financial and business terms, focusing on investments and market activities.",0.796,0.677,0.774,0.82,9
16,394,"Financial services, stock performance, and company actions",0.804,0.692,0.788,0.82,5
16,315,"Financial transactions, market movements, and corporate actions",0.8,0.677,0.764,0.84,2
16,162,"Financial and business-related terms, including company names and market activities.",0.98,0.96,1.0,0.96,11
16,5,"Financial transactions, investments, and business activities",0.752,0.615,0.745,0.76,7
16,343,Commas separating clauses in financial and business contexts,0.3,0.354,1.0,0.176,10
16,180,"Financial market analysis, focusing on technical levels and economic indicators.",0.556,0.508,0.909,0.4,10
16,193,End of sentence in financial contexts,0.556,0.68,0.714,0.455,1
16,9,Financial and market-related terms and transitions in economic conditions.,0.807,0.677,0.746,0.88,9
16,235,Financial indicators and market trends,0.788,0.662,0.759,0.82,7
16,6,"Financial metrics, market performance, and economic indicators",0.722,0.585,0.745,0.7,6
16,198,"Financial and business-related terms, including company names and economic indicators.",0.839,0.723,0.758,0.94,5
16,185,Financial metrics and trend indicators in business contexts,0.739,0.631,0.81,0.68,10
16,329,"Significant financial events or outcomes, often negative",0.56,0.492,0.84,0.42,1
16,13,End of sentence in financial contexts,0.353,0.56,0.5,0.273,7
16,387,Financial and business performance metrics and analysis,0.795,0.66,1.0,0.66,6
16,69,Punctuation marks and delimiters for titles or quotes,0.622,0.569,0.958,0.46,9
16,364,End of sentences in financial and stock-related contexts.,0.545,0.6,0.5,0.6,9
16,273,Temporal or causal relationship in financial contexts,0.575,0.431,0.676,0.5,7
16,158,Financial and stock market-related terms and concepts,0.78,0.662,0.78,0.78,5
16,375,Names of individuals and companies in financial contexts,0.822,0.754,0.925,0.74,1
16,38,"Financial terms and stock market discussions, focusing on Spotify and interest rates.",0.694,0.667,0.895,0.567,11
16,272,Financial and business entity names and stock-related terms,0.82,0.723,0.82,0.82,9
16,323,Financial transactions and market predictions,0.752,0.615,0.76,0.745,3
16,108,Numerical ranges and financial metrics in financial contexts,0.627,0.523,0.788,0.52,7
16,356,Verbs and auxiliary verbs describing states or actions,0.355,0.385,0.917,0.22,2
16,1,Continuation or reference to a specific article or content,0.674,0.554,0.769,0.6,3
16,127,Financial transitions and value changes,0.725,0.615,0.805,0.66,3
16,141,"Financial sentiment, focusing on bullish and steady market trends.",0.486,0.446,0.85,0.34,10
16,164,"Parentheses enclosing company names, stock symbols, and financial figures",0.478,0.462,0.941,0.32,9
16,34,Financial performance and market trends in business contexts,0.876,0.78,1.0,0.78,9
