layer,feature,label,f1_score,accuracy,precision,recall
10,47,"Historical and technical terms, locations, and specific events",0.667,0.538,0.75,0.6
28,46,"Actions, processes, or transitions in context",0.585,0.477,0.75,0.48
4,0,"Parts or elements of a larger historical, cultural, or organizational context",0.729,0.6,0.778,0.686
22,18,Sensitivity to word endings and punctuation,0.776,0.662,0.792,0.76
28,15,"Sentence-ending punctuation marks (periods, double angle brackets)",0.556,0.467,0.652,0.484
22,36,"Fragments of titles, dates, and locations in cultural and musical contexts",0.747,0.646,0.829,0.68
4,22,"Definite article \""the\"" in specific, contextually significant phrases",0.711,0.6,0.8,0.64
10,41,End-of-sentence punctuation marker,0.588,0.6,0.714,0.5
16,41,"Sentence-ending punctuation marks (periods, new lines)",0.452,0.514,0.7,0.333
16,4,"Specific numbers, proper nouns, and technical terms in historical or technical contexts",0.722,0.585,0.745,0.7
10,45,"Positive reception, critical acclaim, and public recognition",0.214,0.323,1.0,0.12
28,5,Pronouns and auxiliary verbs indicating relationships and actions,0.295,0.338,0.9,0.176
4,41,Sentence delimiters and punctuation marks,0.471,0.486,0.615,0.381
16,36,"Specific directions, positions, or cardinal points",0.237,0.308,0.778,0.14
10,0,"Denotes possession, origin, or association",0.619,0.508,0.765,0.52
22,48,"Sentence-ending punctuation marks (periods, new lines)",0.452,0.514,0.636,0.35
28,43,"Military and naval operations, equipment, and historical contexts",0.328,0.369,1.0,0.196
4,44,Initial segments of proper names and places,0.713,0.615,0.838,0.62
10,23,"Loss, damage, or death in historical contexts",0.355,0.385,1.0,0.216
16,24,"Critical or distinctive aspects of a topic, often in reviews or descriptions.",0.276,0.354,1.0,0.16
22,49,Actions and events in historical and narrative contexts,0.688,0.554,0.744,0.64
10,19,"Connects clauses and phrases, structuring sentence flow and relationships.",0.169,0.246,0.625,0.098
10,8,"Geographical and environmental terms, often related to water and land features.",0.305,0.369,1.0,0.18
16,7,"Represents parts of words, suffixes, prefixes, and punctuation.",0.727,0.571,0.588,0.952
16,3,Specific attributes or conditions that emphasize significant qualities or distinctions.,0.145,0.277,0.8,0.08
10,43,"Numerical and punctuation patterns, including dates, measurements, and ordinal numbers.",0.632,0.569,0.923,0.48
10,4,"Album titles, song names, and production details in music contexts.",0.333,0.385,1.0,0.2
10,20,Directional and positional descriptors in technical or geographic contexts,0.375,0.385,0.857,0.24
4,3,"Dates, numbers, and specific events or details",0.611,0.44,1.0,0.44
10,24,Actions or relationships indicated by prepositions and articles,0.717,0.6,0.786,0.66
28,34,"Common function words and punctuation, indicating structural roles in sentences.",0.369,0.369,0.857,0.235
10,26,Technical or specialized terms in specific contexts,0.514,0.477,0.9,0.36
22,20,"Geographic locations and specific areas, often regions or landmarks",0.553,0.477,0.808,0.42
22,27,"Specific years, dates, and locations in media and events",0.493,0.431,0.818,0.353
16,10,Development of narrative elements and character relationships in creative works.,0.4,0.4,0.929,0.255
10,28,Actions or significant events in text,0.635,0.523,0.794,0.529
16,44,Partial names and initials activation,0.613,0.554,0.958,0.451
10,38,Actions or movements with directional or relational aspects,0.175,0.277,0.714,0.1
16,16,"Proper nouns and specific entities, often related to organizations, media, and institutions.",0.713,0.615,0.838,0.62
22,47,"Common articles, prepositions, and numbers in historical or specific contexts",0.72,0.569,0.72,0.72
16,20,Historical and institutional establishment and development contexts,0.568,0.508,0.913,0.412
16,49,Claims or assertions about actions or states,0.582,0.492,0.793,0.46
4,47,"Musical and vocal performance elements, including genres and production aspects.",0.333,0.385,1.0,0.2
28,13,Sentence delimiters and significant text breaks,0.638,0.622,0.882,0.5
10,1,Capital letters and punctuation at sentence starts or in titles,0.435,0.4,0.789,0.3
22,14,"Specific, distinctive elements or features in a context",0.448,0.431,0.882,0.3
16,14,"Units of measurement and numerical values, often in parentheses or with symbols.",0.305,0.369,1.0,0.18
4,38,"Actions and states of being, often involving transitions or changes.",0.521,0.462,0.826,0.38
4,23,"Sports team names, positions, and events",0.271,0.338,1.0,0.157
28,24,"Connections between media elements like episodes, albums, and films.",0.381,0.4,1.0,0.235
4,24,"Media production activities, including filming, recording, and album creation.",0.211,0.308,1.0,0.118
28,40,"Fragments of words and punctuation, often partial or incomplete tokens.",0.86,0.754,0.766,0.98
10,29,Definite articles specifying unique entities,0.478,0.462,0.941,0.32
28,23,Historical and cultural influence across regions and periods,0.5,0.446,0.857,0.353
28,17,Technical or scientific terms and concepts,0.355,0.385,0.917,0.22
28,8,"Partial words and numbers, often at word boundaries",1.0,1.0,1.0,1.0
16,23,Groups or teams with specific roles or characteristics,0.175,0.277,0.833,0.098
4,2,"Specific institutional, organizational, or geographical entities",0.675,0.6,0.931,0.529
4,45,Relationship or association within a group or set,0.455,0.446,0.938,0.3
28,19,Suffixes and numbers in word parts,0.752,0.615,0.745,0.76
28,44,Section headings and specific content in structured text,0.113,0.277,1.0,0.06
28,37,"Sentence-ending punctuation marks (periods, new lines)",0.429,0.467,0.75,0.3
22,37,Sentence and paragraph boundaries,0.37,0.514,0.714,0.25
10,14,Time intervals and durations in historical or narrative contexts,0.538,0.446,0.778,0.412
10,49,"Significant positions, roles, or achievements",0.441,0.415,0.882,0.294
10,15,"Sentence-ending punctuation marks (periods, new lines)",0.571,0.571,0.667,0.5
22,21,Deliberate actions and decisions in significant events or conflicts,0.317,0.338,0.769,0.2
4,9,Critical evaluation and commentary on works or actions,0.241,0.323,1.0,0.137
28,2,Use of articles and common prepositions to structure sentences,0.305,0.369,1.0,0.18
10,46,Common structural elements and punctuation marks in text,0.694,0.6,0.806,0.61
10,12,"Formal, structured, technical, or official language",0.485,0.32,1.0,0.32
4,7,Dates and time-specific phrases,0.622,0.569,0.958,0.46
28,48,End of sentences or quoted text,0.679,0.6,0.731,0.633
22,12,Indicators of process or event progression,0.479,0.431,0.81,0.34
22,29,"Words related to reception, reviews, and public response.",0.438,0.446,1.0,0.28
28,32,"Transitions, endings, and significant historical or organizational changes",0.358,0.338,0.706,0.24
22,38,Significant themes and emotional attributes in context,0.241,0.323,0.875,0.14
4,48,Sentence and paragraph boundaries,0.114,0.311,0.5,0.065
22,33,"Frequent use of definite article \""the\"" in diverse contexts",0.81,0.754,1.0,0.68
16,2,Leadership roles and appointments in historical and creative contexts,0.323,0.354,0.909,0.196
22,10,"Punctuation and common function words, indicating sentence structure and flow.",0.203,0.277,0.667,0.12
4,4,"Change, transformation, or repetition, often with \""re-\"" prefix",0.455,0.446,0.938,0.3
28,4,Institutional and organizational names and transitions,0.684,0.615,0.931,0.54
22,28,"Specific cultural, historical, or organizational events and places",0.667,0.523,0.721,0.62
16,48,"Sentence delimiters (periods, new lines)",0.357,0.486,0.625,0.25
28,22,Release and certification details of media and products,0.3,0.354,1.0,0.176
28,38,Significance or specific aspects of creative works or events,0.634,0.538,0.812,0.52
28,9,"Actions or states that involve personal or creative development, often in response to external pressures or desires.",0.355,0.385,0.917,0.22
4,5,References to specific individuals or entities in narrative contexts,0.682,0.585,0.829,0.58
28,30,"Media content, including films, music, and their critical reception.",0.756,0.692,1.0,0.608
4,13,Sentence and paragraph boundaries,0.444,0.571,0.857,0.3
16,12,"Specific terms related to albums, military, and technical contexts",0.369,0.369,0.8,0.24
28,3,Describes events or conditions leading to negative outcomes or challenges.,0.424,0.415,0.875,0.28
16,26,Punctuation and conjunctions linking elements in lists or sentences,0.5,0.446,0.818,0.36
22,13,"Sentence delimiters (periods, new lines)",0.387,0.457,0.545,0.3
22,46,Specific years or dates in historical or chronological contexts,0.622,0.569,0.958,0.46
22,24,Involvement of technical or creative professionals in media production,0.361,0.4,1.0,0.22
28,14,"Parts of speech, particularly articles, prepositions, and pronouns.",0.375,0.385,0.857,0.24
28,39,"Sentence delimiters (double quotes, periods)",0.308,0.4,0.667,0.2
10,34,"Involvement in music production, performance, or artistic collaboration",0.5,0.477,0.944,0.34
4,10,Descriptive or modifying words and suffixes,0.75,0.631,0.818,0.692
28,45,"Actions, roles, or attributes of individuals in historical or biographical contexts",0.507,0.462,0.857,0.36
28,6,Units of measurement and numerical values in technical and descriptive contexts,0.276,0.354,1.0,0.16
10,17,"Represents structured segments of text, often with specific technical or historical content.",0.734,0.58,1.0,0.58
4,29,Transitions and movements between contexts or locations,0.4,0.4,0.867,0.26
4,49,Actions and intentions in significant decisions or efforts,0.448,0.431,0.938,0.294
28,7,"References to specific events, dates, and achievements in cultural and sports contexts.",0.526,0.446,0.769,0.4
22,19,Punctuation marks and symbols in section headings or titles,0.276,0.354,1.0,0.16
22,40,"Key concepts, themes, or actions in the text",0.313,0.323,0.769,0.196
16,39,"Sentence delimiters (periods, new lines)",0.37,0.514,0.714,0.25
22,8,"Historical, environmental, and technical contexts",0.651,0.538,0.778,0.56
22,22,Geographical and temporal markers in historical and cultural contexts,0.543,0.431,0.71,0.44
4,6,"Units of measurement, often in parentheses, with conversions",0.214,0.323,1.0,0.12
28,12,Indicates purpose or duration in actions or events,0.29,0.323,0.818,0.176
22,2,Functional words and role descriptors in sentences,0.535,0.492,0.905,0.38
22,31,"Entities and concepts related to groups, places, and events",0.667,0.5,1.0,0.5
16,45,Media content titles and production details,0.514,0.477,0.947,0.353
22,16,"Specific months and years, indicating precise dates.",0.406,0.415,0.929,0.26
4,32,Syntactic structure and punctuation usage,0,0.0,0,0.0
10,2,Morphological and phonetic segments of words and proper nouns,0.818,0.692,0.75,0.9
4,37,Sentence delimiters and punctuation marks,0.341,0.4,0.7,0.226
28,11,Historical and geographical context of specific events or places,0.55,0.446,0.733,0.44
10,31,Key content words conveying specific themes or actions,0.571,0.4,1.0,0.4
10,21,"Success, achievement, and positive outcomes in various contexts.",0.241,0.323,1.0,0.137
16,29,"Actions, events, or status changes",0.627,0.523,0.788,0.52
10,16,"Represents historical and structured text elements, including dates, names, and titles.",0.622,0.477,0.7,0.56
4,16,"Numerical values in measurements, dates, and quantities",0.8,0.738,0.971,0.68
28,16,Dates and months in specific formats,0.148,0.292,1.0,0.08
10,44,"Names, often surnames, with occasional titles or roles",0.699,0.615,0.879,0.58
16,28,"Media and creative works, including reports, documentaries, and artistic projects.",0.522,0.492,0.947,0.36
22,26,"Describes natural or historical contexts, often with specific locations or conditions.",0.619,0.508,0.788,0.51
16,19,"Units of measurement, dates, and punctuation in technical or statistical contexts",0.471,0.446,0.889,0.32
22,9,Connecting words and phrases in sentences,0.312,0.323,0.714,0.2
4,30,"Specific entities, locations, and actions in historical or cultural contexts",0.506,0.4,0.714,0.392
16,17,"Specific actions, processes, or conditions in technical or historical contexts",0.635,0.523,0.771,0.54
4,12,Conjunctions and transitional phrases linking ideas or providing context,0.355,0.385,0.917,0.22
22,45,Pronoun usage and subject roles in sentences,0.305,0.369,1.0,0.18
4,34,Temporal and sequential relationships in events or processes,0.63,0.46,1.0,0.46
22,41,"Sentence-ending punctuation marks (periods, new lines)",0.414,0.514,0.667,0.3
22,5,Movement or transfer to different locations or roles,0.207,0.292,0.75,0.12
16,0,"Represents narrative elements, character actions, and plot developments in stories.",0.675,0.6,0.9,0.54
10,33,"Historical events, dates, and specific actions or states",0.771,0.662,0.822,0.725
16,42,"Refers to specific, previously mentioned entities or actions",0.582,0.492,0.793,0.46
28,31,"Specific actions, locations, or significant events in narratives",0.608,0.523,0.828,0.48
22,11,"Represents historical and cultural events, locations, and specific dates.",0.637,0.492,0.707,0.58
4,31,"Historical events, dates, and actions",0.485,0.32,1.0,0.32
10,18,Punctuation and key terms in significant events or places,0.488,0.354,0.645,0.392
4,15,"End of sentences or paragraphs, marked by punctuation.",0.731,0.689,0.864,0.633
28,42,Actions or processes indicating change or transition,0.369,0.369,0.857,0.235
10,35,"Transitions, conditions, or specific events in text",0.427,0.338,0.667,0.314
16,27,"Ongoing actions or processes, often in continuous form",0.038,0.215,0.5,0.02
4,27,Prepositions linking entities and actions,0.521,0.462,0.826,0.38
22,4,"Numerical and geographical details, historical and technical contexts",0.759,0.677,0.892,0.66
10,30,"Specific entities, dates, and titles in historical or cultural contexts",0.614,0.477,0.711,0.54
22,15,End-of-sentence punctuation marks,0.3,0.378,0.6,0.2
16,30,"Structural elements like punctuation, numbers, and partial words",0.847,0.738,0.77,0.94
28,36,"Names and significant name parts, often surnames or identifiers",0.742,0.646,0.868,0.647
10,10,"Themes of loss, nature, and artistic representation in post-apocalyptic or poetic contexts.",0.182,0.308,1.0,0.1
10,11,Achieving or failing to achieve a specific status or condition,0.29,0.323,0.75,0.18
10,36,"Specific themes or contexts, such as nature, music, and historical events.",0.621,0.492,0.771,0.519
16,32,Naval ship specifications and historical context,0.355,0.385,1.0,0.216
16,46,"Single-digit numbers, often in dates or counts",0.605,0.538,0.885,0.46
10,5,Actions and states of specific entities represented by pronouns,0.271,0.338,0.889,0.16
16,40,"Significant events, roles, or relationships in personal or historical contexts",0.652,0.523,0.763,0.569
16,47,Special characters and symbols in technical or specific contexts,0.684,0.631,1.0,0.52
4,42,"Quantifiers and modifiers indicating proportion, extent, or degree",0.276,0.354,1.0,0.16
16,37,"Sentence delimiters (periods, double quotes)",0.483,0.571,0.778,0.35
16,31,Specific nouns and contextually significant terms,0.612,0.492,0.743,0.52
4,43,Distinctive phonetic segments of words,0.295,0.338,0.818,0.18
4,1,"Highlighting digits, especially zeros, in numerical sequences.",0.3,0.354,0.9,0.18
4,8,Specific terms and concepts in specialized domains or activities,0.394,0.385,0.812,0.26
28,0,Years marking significant events or milestones,0.4,0.4,0.867,0.26
4,25,Markers of sentence structure and punctuation in text.,0.438,0.28,1.0,0.28
22,1,Location and context within urban or geographic settings,0.5,0.477,0.944,0.34
10,40,"Specific types of ships, vehicles, and roles in historical and fictional contexts",0.246,0.338,1.0,0.14
28,1,"Prepositions and articles in context of location, time, and description",0.369,0.369,0.8,0.24
22,42,Historical and geographical context markers in text,0.659,0.538,0.763,0.58
4,40,"Formal actions, transitions, and significant events",0.459,0.385,0.708,0.34
28,49,Temporal transitions and events in historical and narrative contexts,0.659,0.554,0.8,0.56
10,39,"Sentence-ending punctuation marks (periods, new lines)",0.5,0.543,0.667,0.4
22,39,"Sentence-ending punctuation marks (periods, new lines)",0.5,0.543,0.667,0.4
22,23,Government actions and responses in conflict situations,0.241,0.323,0.875,0.14
28,10,"Represents roles, characters, and performances in media and entertainment.",0.5,0.477,0.944,0.34
22,35,"Personal actions, goals, and sentiments",0.241,0.323,1.0,0.137
22,7,Functional words and prepositions,0.366,0.308,0.619,0.26
28,20,"Numerical values, units, and symbols in measurements and quantities",0.241,0.323,1.0,0.137
10,6,Punctuation and specific formatting elements in text,0.768,0.646,0.776,0.76
4,20,Temporal durations and specific time frames marking significant periods or events.,0.4,0.4,0.867,0.26
4,39,"Sentence-ending punctuation marks (periods, new lines)",0.553,0.533,0.765,0.433
16,35,Punctuation and formatting markers in text,0.98,0.96,1.0,0.96
28,21,"Verbal actions and transitions in text, such as stating, commenting, and ordering.",0.333,0.385,1.0,0.2
4,33,"Quantities, frequencies, or specific instances",0.265,0.231,0.5,0.18
4,14,Pronouns and possessives indicating entities and their attributes,0.521,0.462,0.826,0.38
4,11,Verbs and auxiliary words indicating actions or states of being,0.338,0.277,0.6,0.235
16,11,Changes and transitions in processes or states over time,0.548,0.492,0.87,0.4
10,27,Dates and significant historical transitions or events,0.382,0.354,0.765,0.255
4,35,Existence and presence in various contexts,0.241,0.323,0.875,0.14
4,21,Specific years or dates marking significant events,0.622,0.569,1.0,0.451
28,33,"Definite articles and specific nouns, often referring to unique entities or titles.",0.575,0.477,0.767,0.46
16,22,"Specific word parts, suffixes, and proper nouns",0.659,0.538,0.763,0.58
16,25,Markers of sentence structure and HTML tags,0.551,0.523,1.0,0.38
4,17,Sequences of events or stages in creative or production processes,0.328,0.369,0.909,0.2
22,43,"Military and historical operations, locations, and personnel",0.541,0.477,0.833,0.4
16,18,Section headers and punctuation marking text structure,0.455,0.446,0.938,0.3
16,33,Contextual relationships and associations,0.4,0.4,0.867,0.26
22,6,"Connects events, people, and media across different contexts and times.",0.729,0.646,0.886,0.62
10,7,"Sports teams, locations, and significant years",0.182,0.308,1.0,0.1
28,27,"Fragments of proper nouns, technical terms, and specific actions",1.0,1.0,1.0,1.0
22,17,"Historical, cultural, and geographical references",0.636,0.508,0.757,0.549
10,37,End-of-sentence punctuation marker,0.579,0.543,0.611,0.55
4,18,Past events or actions being documented or recorded,0.615,0.462,0.683,0.56
4,46,Low-level text structure and common function words,0.4,0.52,0.444,0.364
10,13,"Sentence-ending punctuation marks (periods, new lines)",0.414,0.514,0.75,0.286
10,32,"Release, publication, or distribution events of media or products",0.462,0.462,1.0,0.3
28,26,"Environmental and biological processes, including habitat formation and chemical interactions.",0.246,0.338,1.0,0.14
22,44,Punctuation and special characters for text formatting,0.826,0.754,0.905,0.76
28,41,End-of-sentence punctuation marker,0.691,0.622,0.792,0.613
10,9,"Media and communication technologies, including broadcasting, publishing, and digital content.",0.267,0.323,0.8,0.16
22,0,Positive reviews and critical praise for creative works,0.207,0.292,0.857,0.118
4,28,General references to non-specific entities or concepts,0.619,0.508,0.765,0.52
28,47,Markers of specificity and enumeration in text,0.349,0.369,0.917,0.216
28,18,Conjunctions and punctuation connecting clauses and ideas,0.406,0.415,1.0,0.255
10,25,End of sentences or significant transitions,0.667,0.554,0.784,0.58
10,48,"Sentence delimiters (periods, new lines)",0.483,0.571,0.778,0.35
16,21,Units of time or duration,0.361,0.4,1.0,0.22
16,8,"Military conflicts, political outcomes, and specific actions in historical contexts",0.431,0.431,0.933,0.28
16,43,"Historical periods, dates, and significant events",0.583,0.538,0.955,0.42
28,28,Reception and critical response to creative works,0.361,0.4,1.0,0.22
22,30,Punctuation marks denoting emphasis or context in text,0.448,0.431,0.882,0.3
4,26,"Actions and events in narratives, often involving conflict or significant transitions.",0.602,0.492,0.758,0.5
16,15,"Sentence-ending punctuation marks (periods, new lines)",0.438,0.486,0.583,0.35
4,36,Part or subset of a larger group or context,0.521,0.462,0.864,0.373
10,22,Segments of specific proper nouns and terms,0.813,0.738,0.902,0.74
22,32,Specific parts or numerical aspects of objects or processes,0.564,0.477,0.815,0.431
28,25,Musical and scenic elements in film and performance,0.271,0.338,0.889,0.16
10,3,Spatial or temporal parts and positions,0.507,0.431,0.76,0.38
28,29,"Significant events, achievements, and milestones in various contexts",0.486,0.446,0.895,0.333
28,35,Cultural and artistic influences and their dissemination across regions and media.,0.448,0.431,0.882,0.3
16,5,Movement or action leading to a significant event or change,0.538,0.446,0.778,0.412
4,19,Past and present states or conditions in historical or factual contexts,0.659,0.538,0.763,0.58
16,9,"Common function words and punctuation, indicating structural roles.",0.237,0.308,0.778,0.14
16,6,Temporal and locational transitions in historical and narrative contexts,0.373,0.277,0.56,0.28
16,13,"Sentence delimiters (periods, new lines)",0.563,0.6,0.75,0.45
22,3,"Words starting with \""re\"" or \""R\"" indicating revision, reformation, or related concepts.",0.349,0.369,0.846,0.22
22,25,Quotations and emphasized text in reviews and descriptions,0.211,0.308,0.857,0.12
16,38,"References to musical performances, theaters, and historical contexts",0.563,0.523,0.952,0.4
10,42,Introduces clauses with additional information or context,0.441,0.415,0.833,0.3
22,34,Contextually significant content words or parts of speech,0.608,0.523,0.828,0.48
16,1,Punctuation and symbols for formatting or technical notation,0.812,0.708,0.804,0.82
16,34,"Specific events, actions, or entities",0.824,0.7,1.0,0.7
